epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,957.19,0.69689,0.38768,0.00778,0.98043,0.97554,0.99365,0.90301,0.48524,0.18099,0.00854,0.00187148,0.00187148,0.00187148
43,978.318,0.68796,0.3933,0.00759,0.9814,0.97554,0.99392,0.89616,0.54484,0.19191,0.0096,0.00186528,0.00186528,0.00186528
44,999.246,0.70685,0.38837,0.00786,0.98107,0.98576,0.99431,0.89053,0.54844,0.17979,0.01014,0.00185895,0.00185895,0.00185895
45,1020.13,0.7036,0.38377,0.00788,0.9805,0.99185,0.99454,0.9402,0.41584,0.15171,0.00733,0.00185248,0.00185248,0.00185248
46,1041.09,0.6784,0.36934,0.0076,0.99173,0.97702,0.99424,0.90742,0.50188,0.17616,0.00826,0.00184588,0.00184588,0.00184588
47,1061.74,0.72107,0.37448,0.00802,0.97386,0.97826,0.99324,0.86272,0.64416,0.22492,0.01205,0.00183915,0.00183915,0.00183915
48,1083.06,0.66749,0.35889,0.00754,0.97327,0.98948,0.99381,0.91799,0.46426,0.16185,0.00777,0.00183229,0.00183229,0.00183229
49,1104.57,0.68547,0.37514,0.00756,0.99197,0.98098,0.99453,0.92348,0.43659,0.15992,0.00824,0.0018253,0.0018253,0.0018253
50,1125.93,0.67599,0.37892,0.00773,0.97334,0.99217,0.99438,0.92669,0.42548,0.15343,0.00755,0.00181818,0.00181818,0.00181818
51,1147.09,0.67031,0.38107,0.00777,0.97924,0.99185,0.99459,0.9415,0.37999,0.14521,0.00669,0.00181093,0.00181093,0.00181093
52,1168.78,0.67532,0.36649,0.00757,0.98323,0.97011,0.99359,0.92941,0.42591,0.16994,0.00774,0.00180355,0.00180355,0.00180355
53,1190.4,0.71279,0.37987,0.00775,0.99444,0.98641,0.99481,0.89823,0.52895,0.16757,0.0096,0.00179605,0.00179605,0.00179605
54,1211.43,0.67655,0.36322,0.00781,0.98513,0.99457,0.99489,0.91652,0.4303,0.16159,0.00752,0.00178843,0.00178843,0.00178843
55,1232.22,0.66025,0.36953,0.00728,0.97508,0.98098,0.99406,0.90865,0.48934,0.17793,0.00907,0.00178068,0.00178068,0.00178068
56,1253.07,0.65538,0.33276,0.00721,0.97987,0.99185,0.99445,0.92126,0.44799,0.15722,0.008,0.00177281,0.00177281,0.00177281
57,1273.93,0.61482,0.3331,0.00678,0.98802,0.97554,0.99425,0.91369,0.48888,0.16564,0.0089,0.00176482,0.00176482,0.00176482
58,1294.71,0.62833,0.32186,0.00703,0.97641,0.98641,0.99443,0.9319,0.42075,0.14771,0.00753,0.00175671,0.00175671,0.00175671
59,1315.99,0.67235,0.34148,0.00751,0.98895,0.97317,0.99412,0.87356,0.61588,0.20821,0.01228,0.00174848,0.00174848,0.00174848
60,1337.52,0.65302,0.35182,0.00729,0.99724,0.98012,0.99465,0.911,0.46269,0.15456,0.00851,0.00174014,0.00174014,0.00174014
61,1359.58,0.63354,0.34004,0.00684,0.99184,0.99129,0.99486,0.9041,0.48986,0.15694,0.00878,0.00173168,0.00173168,0.00173168
