epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1109.2,1.04859,0.58635,0.01563,0.96474,0.96115,0.99069,0.76313,0.93066,0.30733,0.02134,0.00187148,0.00187148,0.00187148
43,1136.3,1.08869,0.62164,0.01604,0.96014,0.97107,0.98949,0.75285,0.96676,0.32233,0.02208,0.00186528,0.00186528,0.00186528
44,1163.66,1.07015,0.61542,0.01592,0.95744,0.95248,0.98556,0.74525,0.96779,0.33531,0.02184,0.00185895,0.00185895,0.00185895
45,1191.24,1.05579,0.59536,0.01565,0.98102,0.9609,0.99031,0.7591,0.95457,0.30486,0.02153,0.00185248,0.00185248,0.00185248
46,1218.45,1.01211,0.58601,0.01494,0.96672,0.96036,0.99023,0.74261,0.97923,0.31332,0.02178,0.00184588,0.00184588,0.00184588
47,1245.46,1.04089,0.59381,0.01572,0.95195,0.94138,0.98478,0.76244,0.93041,0.34921,0.0202,0.00183915,0.00183915,0.00183915
48,1272.43,1.02587,0.60658,0.01511,0.94488,0.95619,0.98856,0.74979,0.93882,0.33635,0.02064,0.00183229,0.00183229,0.00183229
49,1298.1,1.03739,0.63065,0.0154,0.95297,0.92108,0.98489,0.7731,0.89315,0.34687,0.01946,0.0018253,0.0018253,0.0018253
50,1320.69,1.01579,0.60321,0.01497,0.96909,0.95248,0.99024,0.77208,0.91145,0.30306,0.02036,0.00181818,0.00181818,0.00181818
51,1343.75,1.01082,0.5986,0.01503,0.95809,0.96488,0.99185,0.75432,0.95762,0.30373,0.0222,0.00181093,0.00181093,0.00181093
52,1368.1,1.00673,0.56496,0.01493,0.9491,0.96317,0.98243,0.7693,0.90064,0.3104,0.0196,0.00180355,0.00180355,0.00180355
53,1396.18,0.99378,0.56574,0.01478,0.97482,0.95455,0.98756,0.79569,0.8508,0.27287,0.01807,0.00179605,0.00179605,0.00179605
54,1420.82,1.01159,0.54989,0.01521,0.98071,0.96074,0.99226,0.78314,0.87657,0.27813,0.01975,0.00178843,0.00178843,0.00178843
55,1445.14,1.01135,0.59655,0.01454,0.96653,0.96074,0.99078,0.79932,0.819,0.28626,0.01731,0.00178068,0.00178068,0.00178068
56,1469.81,0.98045,0.55948,0.01478,0.95871,0.9595,0.98945,0.7713,0.8762,0.30972,0.01923,0.00177281,0.00177281,0.00177281
57,1494.43,0.9951,0.54457,0.01477,0.96493,0.96901,0.99208,0.79081,0.8509,0.27782,0.01847,0.00176482,0.00176482,0.00176482
58,1518.98,0.97681,0.55176,0.01478,0.95617,0.95661,0.98858,0.74841,0.95315,0.31754,0.02196,0.00175671,0.00175671,0.00175671
59,1543.25,0.96882,0.54242,0.01442,0.9729,0.96442,0.99016,0.7932,0.83427,0.27266,0.01786,0.00174848,0.00174848,0.00174848
60,1567.56,0.98507,0.53205,0.01454,0.9709,0.96502,0.99178,0.79484,0.8613,0.29095,0.01837,0.00174014,0.00174014,0.00174014
61,1592.26,0.94939,0.53194,0.01399,0.9772,0.97314,0.99068,0.77721,0.87765,0.28351,0.01834,0.00173168,0.00173168,0.00173168
62,1616.98,0.96328,0.52439,0.0141,0.97276,0.95908,0.99136,0.79549,0.8345,0.28719,0.01844,0.00172311,0.00172311,0.00172311
63,1641.52,0.94206,0.52715,0.01416,0.98115,0.96796,0.99275,0.79099,0.87468,0.30059,0.01955,0.00171442,0.00171442,0.00171442
64,1667.02,0.91713,0.50435,0.01341,0.9833,0.97321,0.99303,0.79904,0.8363,0.25483,0.01815,0.00170562,0.00170562,0.00170562
65,1691.57,0.92103,0.50955,0.01354,0.96546,0.97521,0.99269,0.79628,0.80494,0.2695,0.01719,0.00169672,0.00169672,0.00169672
