epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,335.384,1.08079,0.45334,0.00629,0.97197,0.93578,0.98923,0.73201,1.05853,0.36073,0.01076,0.00187148,0.00187148,0.00187148
43,343.069,1.08022,0.45667,0.00607,0.94171,0.9633,0.98763,0.74895,0.94074,0.33403,0.00922,0.00186528,0.00186528,0.00186528
44,350.532,1.05911,0.48379,0.00644,0.95595,0.99549,0.98801,0.76092,0.94032,0.28993,0.00904,0.00185895,0.00185895,0.00185895
45,357.465,1.14669,0.48628,0.00701,0.96388,0.97933,0.99224,0.72387,1.08134,0.31668,0.01053,0.00185248,0.00185248,0.00185248
46,364.935,1.05796,0.47025,0.00657,1,0.94498,0.99402,0.75266,0.98426,0.31532,0.00982,0.00184588,0.00184588,0.00184588
47,372.17,1.00958,0.42481,0.00626,1,0.99072,0.995,0.759,0.91375,0.26665,0.00869,0.00183915,0.00183915,0.00183915
48,379.57,1.06347,0.47774,0.0065,0.97259,0.97664,0.99356,0.70717,1.07397,0.32727,0.01052,0.00183229,0.00183229,0.00183229
49,386.987,1.11063,0.47592,0.00676,0.98787,0.97248,0.99445,0.73738,1.018,0.28528,0.01014,0.0018253,0.0018253,0.0018253
50,393.706,1.09855,0.49633,0.00687,0.96326,0.96218,0.991,0.73042,1.01229,0.34143,0.01006,0.00181818,0.00181818,0.00181818
51,400.852,1.10147,0.48842,0.0067,0.98144,0.97018,0.99319,0.72571,1.04252,0.30026,0.01049,0.00181093,0.00181093,0.00181093
52,408.15,1.06036,0.44116,0.00666,0.96417,0.98764,0.99144,0.74629,0.95308,0.30183,0.00916,0.00180355,0.00180355,0.00180355
53,415.279,1.0819,0.43431,0.00644,0.9811,0.95224,0.99123,0.74177,0.9629,0.32198,0.00921,0.00179605,0.00179605,0.00179605
54,423.018,1.04458,0.42728,0.0065,0.94675,0.97868,0.99169,0.754,0.93969,0.30336,0.00903,0.00178843,0.00178843,0.00178843
55,430.332,1.00987,0.49652,0.00596,0.98821,0.97248,0.99253,0.74615,1.00768,0.29759,0.00976,0.00178068,0.00178068,0.00178068
56,437.625,1.04451,0.45374,0.00636,0.96279,0.97248,0.98769,0.73502,1.01277,0.33656,0.00975,0.00177281,0.00177281,0.00177281
57,444.913,1.03127,0.43843,0.00605,0.97775,0.9633,0.99204,0.74314,0.97626,0.31475,0.00947,0.00176482,0.00176482,0.00176482
58,452.026,1.08725,0.48649,0.00672,0.99447,0.95413,0.99374,0.73275,1.06105,0.29611,0.011,0.00175671,0.00175671,0.00175671
59,459.411,1.04638,0.4508,0.00623,0.98131,0.96332,0.99368,0.73585,1.057,0.30496,0.01098,0.00174848,0.00174848,0.00174848
60,467.046,1.04631,0.46319,0.00632,1,0.97944,0.99482,0.75798,0.97137,0.26965,0.00978,0.00174014,0.00174014,0.00174014
61,473.971,1.03909,0.43669,0.00627,0.9909,0.99875,0.99455,0.73818,1.03938,0.27265,0.01064,0.00173168,0.00173168,0.00173168
62,481.375,1.01191,0.40427,0.00588,0.99622,0.99083,0.995,0.75278,1.02226,0.26959,0.00993,0.00172311,0.00172311,0.00172311
63,488.436,1.02814,0.43161,0.00604,0.99079,0.98749,0.99436,0.74486,0.97772,0.28756,0.00957,0.00171442,0.00171442,0.00171442
64,495.706,1.0039,0.4342,0.00636,0.92928,0.99083,0.99104,0.74733,0.96268,0.30542,0.00954,0.00170562,0.00170562,0.00170562
65,502.689,1.00638,0.40617,0.00612,0.97015,0.99083,0.99363,0.74882,0.98592,0.28409,0.00946,0.00169672,0.00169672,0.00169672
66,509.747,1.0062,0.45535,0.00625,0.98158,0.98165,0.9941,0.76341,0.93343,0.28646,0.00879,0.0016877,0.0016877,0.0016877
67,516.932,1.02206,0.39369,0.00643,0.94645,0.97296,0.98868,0.72085,1.04398,0.33283,0.01045,0.00167858,0.00167858,0.00167858
68,524.07,1.00992,0.40013,0.00647,0.96178,0.97248,0.98964,0.74333,0.96047,0.31323,0.00897,0.00166935,0.00166935,0.00166935
69,530.944,1.04136,0.42446,0.00611,0.9555,0.97248,0.99245,0.76295,0.91067,0.28593,0.00871,0.00166002,0.00166002,0.00166002
70,538.148,1.01732,0.40764,0.00616,0.92946,0.96712,0.98903,0.74428,1.01787,0.32773,0.01046,0.00165059,0.00165059,0.00165059
71,545.322,1.02933,0.39371,0.00603,0.99081,0.95413,0.99365,0.75272,0.95441,0.29926,0.00934,0.00164105,0.00164105,0.00164105
72,552.453,0.97808,0.39336,0.00578,0.96147,1,0.99381,0.76643,0.94137,0.26818,0.00903,0.00163141,0.00163141,0.00163141
73,559.453,0.96007,0.40068,0.0057,0.99047,0.98165,0.99455,0.75622,0.94323,0.26474,0.00859,0.00162168,0.00162168,0.00162168
74,566.811,0.99705,0.39909,0.00581,0.98186,0.99333,0.99455,0.76273,0.9751,0.26776,0.00941,0.00161185,0.00161185,0.00161185
75,574.436,0.9802,0.41742,0.00599,0.99657,1,0.995,0.75918,0.9776,0.26763,0.0099,0.00160193,0.00160193,0.00160193
76,582.021,0.97518,0.37978,0.00595,0.99073,0.98082,0.99455,0.73602,0.98262,0.26983,0.00971,0.00159191,0.00159191,0.00159191
77,588.988,0.95379,0.37155,0.00558,1,0.98949,0.995,0.75312,0.93012,0.25329,0.00877,0.0015818,0.0015818,0.0015818
78,596.082,1.02453,0.36503,0.00568,0.99864,0.99083,0.995,0.75052,0.98219,0.25802,0.00984,0.0015716,0.0015716,0.0015716
79,602.916,0.99502,0.37157,0.00606,0.97875,0.99083,0.99436,0.72815,1.08493,0.29809,0.01126,0.00156131,0.00156131,0.00156131
80,609.94,0.96776,0.34504,0.00554,0.97121,0.99083,0.99419,0.75538,0.97462,0.28546,0.00979,0.00155093,0.00155093,0.00155093
81,616.925,0.97118,0.36816,0.00609,0.99562,0.99083,0.995,0.77154,0.96287,0.2439,0.0095,0.00154047,0.00154047,0.00154047
82,623.993,0.96938,0.33685,0.0055,0.98008,0.98165,0.99402,0.75842,0.96014,0.27851,0.00907,0.00152992,0.00152992,0.00152992
83,631.119,0.9404,0.33804,0.00535,0.98897,0.99083,0.995,0.77551,0.91555,0.25584,0.00869,0.0015193,0.0015193,0.0015193
84,638.384,0.93219,0.34431,0.00561,0.99075,0.98213,0.99491,0.7456,0.98562,0.25545,0.00947,0.00150859,0.00150859,0.00150859
85,645.336,1.0014,0.38249,0.00571,0.96393,0.98076,0.99197,0.73797,0.99698,0.29917,0.00972,0.0014978,0.0014978,0.0014978
86,652.092,0.97341,0.36719,0.00569,0.96227,0.98165,0.99299,0.74263,0.97568,0.29159,0.00952,0.00148694,0.00148694,0.00148694
