epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1151.69,1.10676,0.60796,0.01507,0.94815,0.96965,0.99064,0.74099,0.98245,0.31903,0.0206,0.00191014,0.00191014,0.00191014
43,1184.23,1.09678,0.59318,0.01468,0.96934,0.95616,0.99102,0.75238,0.96602,0.32515,0.01968,0.00190578,0.00190578,0.00190578
44,1219.4,1.08702,0.59786,0.01462,0.96803,0.93592,0.98496,0.73654,1.01499,0.3341,0.02047,0.00190132,0.00190132,0.00190132
45,1256.69,1.07092,0.61391,0.01434,0.97231,0.94736,0.98828,0.75614,0.96525,0.32813,0.02035,0.00189675,0.00189675,0.00189675
46,1288.53,1.06,0.58279,0.01435,0.96099,0.95556,0.98729,0.7713,0.88975,0.32164,0.01716,0.0018921,0.0018921,0.0018921
47,1323.43,1.062,0.58908,0.0146,0.96586,0.95423,0.98937,0.76383,0.92406,0.31312,0.01881,0.00188734,0.00188734,0.00188734
48,1356.88,1.05676,0.57762,0.01419,0.96906,0.95075,0.9892,0.7699,0.91652,0.31484,0.01774,0.00188249,0.00188249,0.00188249
49,1386.08,1.04609,0.56979,0.01377,0.95719,0.94253,0.98663,0.7559,0.91676,0.33675,0.01734,0.00187754,0.00187754,0.00187754
50,1416.17,1.04212,0.55984,0.01407,0.95296,0.96796,0.98928,0.77866,0.89273,0.29721,0.01735,0.0018725,0.0018725,0.0018725
51,1452.61,1.05232,0.58045,0.0141,0.96372,0.94066,0.9871,0.76161,0.94084,0.30766,0.01914,0.00186737,0.00186737,0.00186737
52,1488.13,1.03443,0.58021,0.01409,0.96003,0.97203,0.99038,0.78193,0.87738,0.28793,0.01691,0.00186213,0.00186213,0.00186213
53,1520.28,1.02478,0.56542,0.01367,0.95578,0.9747,0.99182,0.75799,0.92808,0.30399,0.01815,0.00185681,0.00185681,0.00185681
54,1554.45,1.04921,0.55636,0.01382,0.97699,0.96965,0.9923,0.76282,0.92324,0.2853,0.01815,0.00185139,0.00185139,0.00185139
55,1586.08,1.02706,0.55695,0.01377,0.95354,0.96627,0.99047,0.77723,0.88531,0.29289,0.01741,0.00184588,0.00184588,0.00184588
56,1617.26,1.01693,0.52736,0.01355,0.94907,0.97415,0.99206,0.76691,0.92855,0.30027,0.01896,0.00184028,0.00184028,0.00184028
57,1648.73,1.02179,0.53958,0.01382,0.96903,0.97639,0.99191,0.76345,0.95247,0.29788,0.01968,0.00183459,0.00183459,0.00183459
58,1674.64,1.04257,0.5393,0.01399,0.96375,0.98637,0.99209,0.77352,0.91086,0.27227,0.01775,0.00182881,0.00182881,0.00182881
59,1699.44,1.03465,0.55022,0.01372,0.96928,0.9747,0.9928,0.79519,0.88718,0.2719,0.01814,0.00182294,0.00182294,0.00182294
60,1728.45,1.00803,0.55389,0.01338,0.96798,0.95953,0.99062,0.77983,0.89239,0.28393,0.01776,0.00181698,0.00181698,0.00181698
61,1763.69,0.99713,0.50709,0.01327,0.97165,0.96796,0.99204,0.7988,0.84334,0.28211,0.01605,0.00181093,0.00181093,0.00181093
62,1797.1,0.98081,0.52282,0.01294,0.96324,0.97208,0.99157,0.79489,0.87061,0.27164,0.01742,0.00180479,0.00180479,0.00180479
63,1831.61,0.9926,0.53439,0.01302,0.95528,0.95784,0.99051,0.76186,0.9313,0.30637,0.01885,0.00179856,0.00179856,0.00179856
64,1866.59,0.99068,0.525,0.01313,0.96342,0.97709,0.9915,0.78304,0.86067,0.28899,0.01729,0.00179225,0.00179225,0.00179225
65,1903.11,0.99959,0.55208,0.01322,0.94486,0.98253,0.99164,0.78872,0.86701,0.2768,0.01675,0.00178586,0.00178586,0.00178586
66,1935.49,0.96085,0.50104,0.01287,0.96999,0.98111,0.99323,0.79226,0.82969,0.26451,0.01573,0.00177937,0.00177937,0.00177937
67,1973.55,0.96097,0.50861,0.01271,0.97869,0.96459,0.99207,0.80342,0.82832,0.27415,0.01611,0.00177281,0.00177281,0.00177281
68,2009.88,0.95268,0.48785,0.01278,0.96664,0.97717,0.99081,0.78187,0.87283,0.29462,0.01696,0.00176616,0.00176616,0.00176616
69,2041.97,0.96019,0.51022,0.01274,0.97054,0.95953,0.98926,0.77829,0.88595,0.29006,0.01764,0.00175943,0.00175943,0.00175943
70,2075.57,0.95148,0.51264,0.01246,0.97993,0.97133,0.99308,0.79798,0.82561,0.25904,0.01586,0.00175261,0.00175261,0.00175261
71,2108.25,0.94875,0.50743,0.01263,0.96985,0.97634,0.99221,0.79885,0.81494,0.27891,0.01547,0.00174571,0.00174571,0.00174571
72,2138.79,0.95951,0.47942,0.01254,0.96961,0.96835,0.99153,0.79218,0.81084,0.27819,0.01553,0.00173874,0.00173874,0.00173874
73,2170.33,0.92772,0.49377,0.01225,0.96982,0.97302,0.99223,0.80412,0.84073,0.25555,0.01622,0.00173168,0.00173168,0.00173168
74,2206.63,0.94629,0.48603,0.01249,0.98282,0.96473,0.99271,0.80143,0.84261,0.26722,0.01636,0.00172454,0.00172454,0.00172454
75,2242.28,0.94733,0.49517,0.01214,0.97615,0.96648,0.99231,0.81349,0.78755,0.25514,0.01495,0.00171733,0.00171733,0.00171733
76,2278.35,0.93131,0.47238,0.01228,0.97618,0.96735,0.98927,0.8018,0.81419,0.2663,0.01631,0.00171004,0.00171004,0.00171004
77,2312.79,0.94159,0.48324,0.01257,0.97033,0.98145,0.9925,0.8148,0.79904,0.25346,0.01521,0.00170267,0.00170267,0.00170267
78,2346.72,0.93229,0.46395,0.01234,0.97151,0.97976,0.9926,0.80598,0.82353,0.25775,0.01632,0.00169522,0.00169522,0.00169522
79,2380.73,0.92782,0.49177,0.01218,0.95886,0.9826,0.99217,0.79764,0.81106,0.26247,0.01523,0.0016877,0.0016877,0.0016877
80,2406.14,0.9334,0.50403,0.01246,0.97298,0.97168,0.99046,0.81706,0.77543,0.25695,0.01469,0.00168011,0.00168011,0.00168011
81,2431.08,0.93523,0.48612,0.01175,0.98297,0.97324,0.99335,0.81425,0.79774,0.24718,0.0151,0.00167244,0.00167244,0.00167244
82,2457.26,0.89382,0.44622,0.01179,0.97962,0.96796,0.99279,0.82327,0.77408,0.24877,0.01479,0.0016647,0.0016647,0.0016647
83,2485.1,0.90734,0.47267,0.01196,0.98148,0.98329,0.99244,0.80435,0.80046,0.25954,0.01494,0.00165689,0.00165689,0.00165689
84,2535.05,0.91848,0.46528,0.01185,0.96545,0.98957,0.99307,0.81361,0.80216,0.24553,0.01499,0.001649,0.001649,0.001649
85,2594.48,0.92295,0.49362,0.01202,0.98461,0.97067,0.99329,0.80737,0.79878,0.25117,0.0154,0.00164105,0.00164105,0.00164105
86,2670.11,0.90966,0.47414,0.0119,0.97687,0.97639,0.99387,0.80464,0.82189,0.24852,0.01587,0.00163303,0.00163303,0.00163303
87,2714.25,0.88813,0.45233,0.01133,0.97434,0.96459,0.99189,0.81834,0.77348,0.25987,0.01445,0.00162494,0.00162494,0.00162494
88,2745.32,0.86801,0.45661,0.01141,0.97127,0.9882,0.99338,0.82898,0.7494,0.238,0.01392,0.00161678,0.00161678,0.00161678
